E (keV),h_k(0 deg) (Sv/Gy),h_k(15 deg) (Sv/Gy),h_k(30 deg) (Sv/Gy),h_k(45 deg) (Sv/Gy),h_k(60 deg) (Sv/Gy),h_k(75 deg) (Sv/Gy),h_k(90 deg) (Sv/Gy),h_k(180 deg) (Sv/Gy)
3,0.287,0.266,0.214,0.151,0.044,0.007112953,0.001501365,2.22088E-07
4,0.586,0.557,0.49,0.416,0.185,0.026489501,0.005612569,7.57848E-07
5,0.76,0.73,0.66,0.6,0.31,0.073450422,0.015608578,1.9636E-06
6,0.798,0.772,0.715,0.667,0.432,0.169,0.036,4.27448E-06
8,0.874,0.856,0.823,0.799,0.672,0.507,0.108,1.45861E-05
10,0.95,0.94,0.93,0.93,0.91,0.85,0.18,3.7793E-05
12,0.966,0.958,0.949,0.951,0.935,0.878,0.253,8.22701E-05
14,0.982,0.976,0.966,0.97,0.959,0.91,0.325,0.000158808
15,0.99,0.985,0.975,0.98,0.97,0.926,0.361,0.000213164
20,1.05,1.05,1.04,1.05,1.05,1.03,0.57,0.000727394
30,1.22,1.21,1.21,1.21,1.2,1.15,0.76,0.004102713
40,1.41,1.4,1.39,1.39,1.37,1.31,0.924,0.014
50,1.53,1.51,1.5,1.5,1.48,1.41,1.06,0.03
60,1.59,1.57,1.56,1.56,1.55,1.47,1.12,0.041
70,1.61,1.6,1.59,1.59,1.57,1.5,1.16,0.051
80,1.61,1.59,1.59,1.59,1.57,1.5,1.19,0.061
100,1.55,1.53,1.53,1.53,1.52,1.46,1.19,0.08
125,1.49,1.47,1.47,1.47,1.46,1.42,1.21,0.09
150,1.42,1.41,1.41,1.41,1.41,1.38,1.24,0.1
200,1.34,1.33,1.33,1.33,1.34,1.31,1.17,0.11
300,1.31,1.31,1.31,1.31,1.34,1.31,1.17,0.13
662,1.2,1.2,1.2,1.2,1.2,1.18,1.07,0.22
1250,1.16,1.16,1.16,1.16,1.16,1.14,1.04,0.35
